#YEAR DOY HR  1
2013  55  2  7
2013  55  3 17
2013  55  4 17
2013  55  5 17
2013  55  6  7
2013  55  7  7
2013  55  8  7
2013  55  9 10
2013  55 10 10
2013  55 11 10
2013  55 12  3
2013  55 13  3
2013  55 14  3
2013  55 15 10
2013  55 16 10
2013  55 17 10
2013  55 18  3
2013  55 19  3
2013  55 20  3
2013  55 21  7
2013  55 22  7
2013  55 23  7
2013  56  0  0
2013  56  1  0
2013  56  2  0
2013  56  3  0
2013  56  4  0
2013  56  5  0
2013  56  6  3
2013  56  7  3
2013  56  8  3
2013  56  9  7
2013  56 10  7
2013  56 11  7
2013  56 12 10
2013  56 13 10
2013  56 14 10
2013  56 15 13
2013  56 16 13
2013  56 17 13
2013  56 18 10
2013  56 19 10
2013  56 20 10
2013  56 21 17
2013  56 22 17
2013  56 23 17
2013  57  0 10
2013  57  1 10
2013  57  2 10
2013  57  3 17
2013  57  4 17
2013  57  5 17
2013  57  6 10
2013  57  7 10
2013  57  8 10
2013  57  9 17
2013  57 10 17
2013  57 11 17
2013  57 12 13
2013  57 13 13
2013  57 14 13
2013  57 15 10
2013  57 16 10
2013  57 17 10
2013  57 18 20
2013  57 19 20
2013  57 20 20
2013  57 21 10
2013  57 22 10
2013  57 23 10
2013  58  0 10
2013  58  1 10
2013  58  2 10
2013  58  3 13
2013  58  4 13
2013  58  5 13
2013  58  6 17
2013  58  7 17
2013  58  8 17
2013  58  9  7
2013  58 10  7
2013  58 11  7
2013  58 12 13
2013  58 13 13
2013  58 14 13
2013  58 15  7
2013  58 16  7
2013  58 17  7
2013  58 18  0
2013  58 19  0
2013  58 20  0
2013  58 21  7
2013  58 22  7
2013  58 23  7
2013  59  0 17
2013  59  1 17
2013  59  2 17
2013  59  3 10
2013  59  4 10
2013  59  5 10
2013  59  6 17
2013  59  7 17
2013  59  8 17
2013  59  9 10
2013  59 10 10
2013  59 11 10
2013  59 12 17
2013  59 13 17
2013  59 14 17
2013  59 15  7
